@relation 'position-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L4,6'

@attribute class {rest,index,pinch_1,pinch_3,fist,spread}
@attribute A_mean numeric
@attribute A_median numeric
@attribute A_variance numeric
@attribute B_mean numeric
@attribute B_median numeric
@attribute B_variance numeric
@attribute C_mean numeric
@attribute C_median numeric
@attribute C_variance numeric
@attribute D_mean numeric
@attribute D_median numeric
@attribute D_variance numeric
@attribute E_mean numeric
@attribute E_median numeric
@attribute E_variance numeric
@attribute F_mean numeric
@attribute F_median numeric
@attribute F_variance numeric
@attribute G_mean numeric
@attribute G_median numeric
@attribute G_variance numeric
@attribute H_mean numeric
@attribute H_median numeric
@attribute H_variance numeric

@data
rest,-0.5,0,1.85,-1.6,-1,3.04,-1.2,-2,10.96,-5.6,1,460.64,-3.8,-2,106.36,-1.5,-1,8.25,-1.4,-1,2.04,-1.6,-1,1.44
rest,-1,-1,0.8,-0.5,-1,2.85,-1.3,-1,9.01,2.2,2,298.36,1.8,2,224.56,0.3,1,6.41,-0.7,-1,1.41,-1.2,-1,5.16
rest,-1.5,-1,1.05,-1.6,-1,1.84,-1.4,0,4.24,1.1,3,267.69,0.4,4,118.24,-1.3,-2,3.41,-1.4,-1,3.84,-0.9,-1,2.29
rest,-1.4,-1,1.84,-0.9,-1,3.49,-1.3,-2,10.81,-4.7,-7,287.21,-1,-6,253.8,-2,-2,4.4,-2.2,-2,2.36,-1.1,-1,2.89
rest,-1.6,-1,1.04,-1.6,-2,4.24,-2,-2,5.4,0.9,4,439.09,0.6,2,70.64,-2.6,-2,5.24,-1.6,-1,3.24,-1.8,-2,1.56
rest,-0.6,-1,0.64,-1.1,-1,2.29,-0.4,-1,5.44,-4.1,5,283.69,-0.7,0,29.21,-0.5,-1,3.25,-0.9,-1,1.29,-1.2,-1,1.16
rest,-1.3,-1,1.61,-0.9,-1,4.49,-0.7,-1,7.41,-0.3,2,682.21,-3.4,-1,155.44,-1.1,0,2.69,-1.1,-1,2.09,-1.8,-2,0.96
rest,-1,-1,1.4,-2,-2,1.6,-1.9,-2,4.49,-4.4,-5,523.44,1.5,3,281.45,-1.1,-1,14.09,-0.8,-1,3.96,-1,-1,1.8
rest,-0.9,-1,6.09,-0.6,-1,9.44,-0.7,-2,37.81,-3.1,-8,978.49,-0.5,-1,283.05,-1,-2,22.4,-0.8,-1,7.16,-0.8,0,3.76
rest,-0.8,-1,3.96,-1.6,-1,0.64,-1,-1,5.4,4.4,12,288.04,1.2,1,111.96,-0.9,-1,5.09,-1.4,-1,1.04,-1.1,-1,1.49
rest,-1.6,-1,1.24,-1.7,-1,1.41,-2.4,-2,3.44,0.9,-1,260.09,-1.6,-1,152.04,-1.7,-2,7.41,-1,-1,2.8,-1.5,-2,3.05
rest,-0.4,-1,0.84,-0.7,-1,2.41,-0.7,-1,6.01,-3.5,4,214.25,-1.6,-1,69.64,0,-1,10.6,-1,-1,3.4,-0.8,-1,1.76
rest,-1.7,-1,0.61,-1.5,-1,1.25,-1.3,-1,6.01,2.2,0,232.76,0,2,221.4,-1.1,-1,7.29,-1.1,0,9.09,-1.5,-1,1.65
rest,-0.5,0,1.45,-1.2,-1,3.76,-1,-1,10.6,-3,-3,338.2,-0.8,-1,116.96,-0.6,-1,11.84,-1.6,-1,7.44,-1.2,-1,1.56
rest,-1.8,-2,0.56,-1.5,-1,1.25,-1.6,0,26.24,-6.9,0,243.89,-4.1,-1,250.69,-0.9,0,29.49,-1.3,-1,3.21,-1.5,-1,1.05
rest,-1.6,-1,0.64,-1.2,-1,1.36,-1.5,-2,3.25,-2.4,-2,136.24,0.5,-3,91.45,-1.5,-2,6.45,-1,-1,1.2,-1,0,3.4
rest,-0.9,-1,2.09,-1.5,-2,2.65,-2,-1,9.6,-1.8,6,248.56,-4.2,-3,125.16,-1.8,-1,6.76,-1.5,-1,2.05,-1.9,-2,0.89
rest,-1.3,-1,1.61,-1.3,-1,1.21,-1.4,-1,5.04,-1.6,-1,28.04,-3.4,-4,14.64,-0.9,0,10.09,-1.5,-1,2.05,-1.3,-1,5.21
rest,-1.5,-2,0.85,-1.8,-1,4.16,-2.3,-3,9.01,-4.8,0,128.96,-4.9,-6,54.49,-1.8,-1,10.76,-1.6,-2,2.44,-0.9,-1,1.89
rest,-1.1,-1,3.69,-1.3,-1,1.61,-0.6,0,8.04,8.5,13,1024.85,2.2,4,228.76,2,-2,142.4,-1,-1,6,-1.6,-2,58.04
rest,-1.2,-1,0.76,-1.8,-2,0.56,-1.6,0,7.44,-1.4,1,153.24,-2,-3,40.8,-6,-2,103.8,-1.8,-2,0.96,-1.5,-1,6.65
fist,-1.6,-2,12.04,-2.2,-2,5.16,-0.7,-1,18.61,-0.4,-1,52.04,-2.5,0,208.85,12.5,19,542.85,-2.1,-3,91.09,-2.7,-3,685.21
fist,-0.9,0,8.49,-1.1,0,5.29,-2.2,-2,17.76,-3.2,-2,58.96,-0.3,2,83.81,2.2,9,385.36,-2.3,0,196.21,0.8,-1,188.96
fist,-1.3,-1,14.81,-0.6,0,9.24,-0.4,-1,25.24,0.6,0,323.04,2.4,3,62.44,-4.9,-2,475.29,-1.7,-2,62.21,-2.6,-1,89.24
fist,-1,0,9.8,-2,-2,2.2,-3.2,-3,21.76,-4.2,1,83.16,-2.6,-5,508.24,-6.7,-9,697.21,0,0,90.2,-1.2,-1,388.16
fist,-1.9,-2,86.29,-2.5,-1,8.25,-2.3,-4,41.21,-2.1,-1,96.09,-6.4,-10,274.64,-6,-12,2047.4,-3.6,-10,531.44,-5.2,-4,1993.56
fist,-1,-1,12.4,-0.7,-1,2.81,0.1,1,38.49,2.2,5,73.96,2.9,6,233.69,-1.3,5,260.61,-2.9,-1,79.29,-5.6,-11,593.84
fist,-2.6,-2,19.84,-2.3,-1,5.61,-2.8,-3,28.56,-4.3,-3,29.01,-6.7,-9,660.41,-5.5,-11,1171.85,-0.3,6,269.41,-4.7,10,609.01
fist,-1.1,0,25.09,-1.2,0,10.76,-0.1,-2,111.69,-1.7,7,296.01,6.4,3,265.64,-1.7,3,1057.21,-2.2,3,272.16,3.4,-4,1927.44
fist,-0.2,-2,90.56,-1,1,49.8,0.4,6,138.84,3.7,7,273.61,10.5,12,1050.25,-4.2,-3,628.16,5.5,10,737.25,-5.8,-19,5229.16
fist,-3.4,0,129.44,-2.1,1,112.89,-4.5,3,436.85,-7.5,-1,640.45,-4,-3,2556.6,-12.8,-5,5117.76,-9,1,915.4,-3.4,1,1672.64
fist,1,1,132.8,-0.7,-1,39.01,-3.4,-3,56.64,-5.1,-1,231.29,-8.2,-2,597.76,1.9,23,1593.29,-0.4,-2,734.64,3.5,13,1669.65
